,city_num,3num,alphabet,2num,location,city
961416005##20181221_095657.jpg##RR##1.jpg,21.0,833,ن,69,"karaj , tehran",tehran
961416005##20181221_095702.jpg##NR##1.jpg,69.0,956,ص,69,golestan,golestan
961416005##20181221_095706.jpg##NR##1.jpg,44.0,941,ل,13,tehran,tehran
961416005##20181221_095712.jpg##NR##1.jpg,99.0,922,ن,53,tehran,tehran
961416005##20181221_095718.jpg##NR##1.jpg,10.0,355,د,59,tehran,tehran
961416005##20181221_095722.jpg##NR##1.jpg,88.0,724,د,97,tehran,tehran
961416005##20181221_095726.jpg##NR##1.jpg,55.0,234,و,41,tehran,tehran
961416005##20181221_095730.jpg##NR##1.jpg,22.0,521,ل,41,tehran,tehran
961416005##20181221_095746.jpg##NR##1.jpg,66.0,185,ق,91,tehran,tehran
961416005##20181221_095753.jpg##NR##1.jpg,10.0,327,م,79,tehran,tehran
961416005##20181221_095810.jpg##NR##1.jpg,44.0,192,ب,54,tehran,tehran
961416005##20181221_095819.jpg##NR##1.jpg,11.0,532,م,23,tehran,tehran
961416005##20181221_095825.jpg##NR##1.jpg,99.0,818,ب,96,tehran,tehran
961416005##20181221_095832.jpg##NR##1.jpg,72.0,146,د,63,mazandaran,tonekabon
961416005##20181221_095837.jpg##NR##1.jpg,55.0,468,ص,28,tehran,tehran
961416005##20181221_095857.jpg##NR##1.jpg,88.0,974,ق,59,tehran,tehran
961416005##20181221_095901.jpg##NR##1.jpg,55.0,265,د,85,tehran,tehran
961416005##20181221_095905.jpg##NR##1.jpg,66.0,935,د,33,tehran,tehran
961416005##20181221_095915.jpg##NR##1.jpg,55.0,858,س,99,tehran,tehran
961416005##20181221_095924.jpg##NR##1.jpg,44.0,316,ب,82,tehran,tehran
961416005##20181221_095931.jpg##NR##1.jpg,10.0,973,ص,64,tehran,tehran
961416005##20181221_095936.jpg##NR##1.jpg,77.0,864,ن,12,tehran,tehran
961416005##20181221_095939.jpg##NR##1.jpg,10.0,432,ط,82,tehran,tehran
